user_id	parent_sale_ord_id	item_sku_id	sale_ord_det_id	sale_ord_id	sale_ord_tm	sale_ord_dt	user_log_acct	sale_qtty	after_prefr_amount	before_prefr_amount	sku_freight_amount	cancel_flag	sale_ord_valid_flag	store_id	pop_vender_id
867376658	12160936536	1088243	6933269525	12160936536	2016-02-24 23:55:00.0	2016-02-24	jd_54bea5cbc5f4a	1	28.9	28.9	3.0	0	1	6	
887546543	12170425184	2275850	6936368887	12170425184	2016-02-25 11:51:00.0	2016-02-25	jd_5b3ca342460f0	1	0.0	12.15	0.0	0	1	0	
977910825	12149156677	346558	6902862705	12149156677	2016-02-22 08:06:00.0	2016-02-22	wdMDAXeBiyiVxX	1	59.0	59.0	5.0	0	1	28	
1021755851	12151297245	1022123216	6906619375	12151297245	2016-02-22 14:32:00.0	2016-02-22	wdwrKbUOiZAevy	2	148.0	148.0	0.0	0	1	0	37376
229890926	12172732447	1289734	6906804019	12143209730	2016-02-22 14:49:00.0	2016-02-22	13998103128_p	1	78.0	78.0	0.0	0	1	6	
959048083	12153476595	930750	6907514884	12153476595	2016-02-22 15:54:00.0	2016-02-22	515建湖县姜大洲	1	0.0	19.9	0.0	0	1	32	
545694754	12163717038	1712865	6907547278	12163717038	2016-02-22 15:57:00.0	2016-02-22	柳莹莹66	1	45.9	45.9	0.0	0	1	33	
31713647	12149668157	1949827	6908290234	12142115244	2016-02-22 10:06:00.0	2016-02-22	沧州张启高	1	35.0	70.0	0.0	0	1	20	
678492446	12142344748	1239534	6908688907	12142344748	2016-02-22 17:49:00.0	2016-02-22	YYYGAPI	1	44.8	44.8	0.0	0	1	0	
679887727	12154805307	2301853	6909493161	12154805307	2016-02-22 19:35:00.0	2016-02-22	wangwei198841	1	23.9	23.9	0.0	0	1	20	
886518435	12164985014	1289746	6909737262	12145179250	2016-02-22 19:54:00.0	2016-02-22	caitlynxiao	1	0.0	0.0	0.0	0	1	20	
742219508	12175148631	923638	6911027475	12155848915	2016-02-22 21:40:00.0	2016-02-22	zhouzhiying1993	1	39.0	49.9	0.0	0	1	32	
22578178	12125566976	2129864	6911126253	12165986254	2016-02-22 22:03:00.0	2016-02-22	lsqw123	1	1.0	1.99	0.0	0	1	33	
7914166	12166079462	1044732	6911276355	12166079462	2016-02-22 22:26:00.0	2016-02-22	panlianfa	1	69.9	80.9	0.0	0	1	33	
69321326	12156055995	1088268	6911368467	12146268722	2016-02-22 22:34:00.0	2016-02-22	zhanghaiguo008	1	59.9	59.9	0.0	0	1	29	
371917969	12154563229	1338213	6911916249	12154563229	2016-02-22 23:31:00.0	2016-02-22	wdodq33wgz	1	2.0	5.0	0.0	0	1	4	
